fecha,marca,local,canal,id_orden,estado_orden,subtotal,impuesto,descuento
2023-11-02 21:56:08,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,1861D,Entregado,15,0,0
2023-11-02 21:55:05,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,121AF,Entregado,"39,8",0,"-13,9"
2023-11-02 21:54:07,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AJ3BTUAP,Entregado,"14,9",0,0
2023-11-02 21:53:28,Umbrella SH,Goleta,ubereats,BEF6A,Nuevo,"34,4",0,"-13,9"
2023-11-02 21:53:02,Umbrella SH,Umbrella SH - Calle Linares,ubereats,93726,Nuevo,37,0,"-13,9"
2023-11-02 21:53:01,Umbrella SH,Umbrella SH - Calle Linares,ubereats,93FDF,Nuevo,20,0,0
2023-11-02 21:51:02,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,7B08E,Entregado,"37,8",0,"-13,9"
2023-11-02 21:50:24,Umbrella SH,Umbrella SH - Calle Linares,ubereats,25491,Nuevo,"31,4",0,"-13,9"
2023-11-02 21:49:47,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,ubereats,F0936,Nuevo,"34,5",0,0
2023-11-02 21:49:30,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,D749A,Entregado,"33,3",0,0
2023-11-02 21:45:09,Umbrella SH,Tepuy Burger - Benidorm,ubereats,5E20A,Entregado,"27,2",0,0
2023-11-02 21:44:51,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,F2AC0,Entregado,"31,8",0,"-13,9"
2023-11-02 21:44:44,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,32A13,Entregado,"25,8",0,0
2023-11-02 21:41:44,Umbrella SH,EMEA - SP - MAD - Salamanca,glovo,MPKPM1QF,Entregado,"15,4",0,0
2023-11-02 21:36:32,Umbrella SH,Tepuy Burger - Benidorm,glovo,B8LBWNVL,Entregado,"21,1",0,0
2023-11-02 21:31:48,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,BDBE1,Entregado,"39,8",0,"-13,9"
2023-11-02 21:31:21,Umbrella SH,Umbrella SH - Calle Linares,ubereats,423A1,Nuevo,"11,8",0,0
2023-11-02 21:29:52,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,95B69,Entregado,"39,8",0,"-13,9"
2023-11-02 21:26:58,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,E21C5,Entregado,12,0,0
2023-11-02 21:26:05,Tepuy Basics,EMEA - SP - MAD - Salamanca,ubereats,A8A99,Entregado,"17,9",0,0
2023-11-02 21:24:37,Umbrella SH,Goleta,ubereats,73D19,Nuevo,29,0,0
2023-11-02 21:24:00,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,EB311,Entregado,37,0,"-13,9"
2023-11-02 21:20:49,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,194BE,Entregado,"39,8",0,"-13,9"
2023-11-02 21:20:09,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,530FA,Entregado,"31,8",0,"-13,9"
2023-11-02 21:19:21,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,17F47,Entregado,"15,9",0,0
2023-11-02 21:19:18,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,1B696,Entregado,"39,8",0,"-13,9"
2023-11-02 21:18:13,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,40EA2,Entregado,"16,7",0,0
2023-11-02 21:17:30,Umbrella SH,Umbrella SH - Calle Linares,ubereats,5DA1C,Nuevo,"79,5",0,"-27,8"
2023-11-02 21:14:05,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BP1PJXPT,Entregado,"30,7",0,0
2023-11-02 21:13:14,Umbrella SH,Umbrella SH - Calle Linares,ubereats,EB2AA,Nuevo,"46,2",0,"-13,9"
2023-11-02 21:10:32,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MDLZBYTW,Entregado,"18,8",0,0
2023-11-02 21:07:03,Tepuy Basics,Goleta,glovo,AT5SXWYR,Entregado,"33,6",0,0
2023-11-02 20:53:38,Tepuy Burger,Tepuy Burger - Benidorm,gloria-foods,777744476,Entregado,"16,4","1,49",0
2023-11-02 20:52:42,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,C8A1B,Entregado,"38,2",0,"-13,9"
2023-11-02 20:51:06,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,6BDBC,Entregado,"34,8",0,"-13,9"
2023-11-02 20:47:57,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,7FB3C,Entregado,"21,4",0,0
2023-11-02 20:46:55,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MYQMNNM1,Entregado,"23,4",0,0
2023-11-02 20:41:49,Tepuy Basics,Umbrella SH - Calle Linares,glovo,AFHUUSYT,Entregado,"15,3",0,0
2023-11-02 20:41:12,Umbrella SH,Umbrella SH - Calle Linares,gloria-foods,777736067,Nuevo,"23,8","2,51",0
2023-11-02 20:40:56,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,5DD97,Entregado,"53,3",0,"-13,9"
2023-11-02 20:40:42,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,ubereats,80EB3,Nuevo,"12,2",0,0
2023-11-02 20:40:29,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,13A20,Entregado,"35,5",0,0
