"Fecha","Marca","Locación","Canal","ID de la orden","Estado de la orden","Subtotal","Impuesto","Descuentos","Cargos por error en el pedido","Código de moneda"
"2023-10-27 18:44:42","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AH2LJLNA","Entregado","34,2","0","-2,5","0","EUR"
"2023-10-27 16:31:44","Tepuy Basics","EMEA - SP - MAD - Salamanca","ubereats","65FD0","Entregado","34,6","3,15","0","0","EUR"
"2023-10-27 15:48:43","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","A6KUDDZH","Entregado","14,2","0","0","0","EUR"
"2023-10-27 15:47:28","Tepuy Basics","Goleta","glovo","ACNXLKPZ","Entregado","87,8","0","-12,24","0","EUR"
"2023-10-27 15:36:36","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","ATTFCAMV","Entregado","18,4","0","-1,18","0","EUR"
"2023-10-27 15:06:45","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","ACUR7VWZ","Entregado","18,5","0","-3,7","0","EUR"
"2023-10-27 14:57:58","Tepuy Basics","Goleta","glovo","AUFEVXLM","Entregado","18,5","0","-3,7","0","EUR"
"2023-10-27 14:46:37","Tepuy Basics","Umbrella SH - Calle Linares","glovo","AUQAJRUV","Entregado","13,4","0","0","0","EUR"
"2023-10-27 14:35:06","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","A5NXVSBH","Entregado","22","0","0","0","EUR"
"2023-10-27 14:32:21","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","74A41","Entregado","26,4","2,4","0","0","EUR"
"2023-10-27 13:49:42","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B3S22WQK","Entregado","30,5","0","0","0","EUR"
"2023-10-27 13:41:01","Tepuy Basics","Umbrella SH - Calle Linares","glovo","ARHPACGX","Entregado","52,6","0","-5,04","0","EUR"
"2023-10-27 13:40:18","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","ATS4QUL1","Entregado","12,6","0","-2,52","0","EUR"
"2023-10-27 13:36:05","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BUU586VJ","Entregado","15,4","0","0","0","EUR"
"2023-10-26 23:24:13","Tepuy Basics","EMEA - SP - MAD - Tetuan","glovo","MS1RZ7CL","Entregado","77","0","-38,5","0","EUR"
"2023-10-26 22:24:03","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","1E142","Entregado","42,9","3,9","0","0","EUR"
"2023-10-26 22:14:11","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BJHAEGQ1","Entregado","33,6","0","0","0","EUR"
"2023-10-26 21:59:02","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AKR8PQSC","Entregado","12,5","0","0","0","EUR"
"2023-10-26 21:53:23","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BBAPVC1V","Entregado","18,6","0","0","0","EUR"
"2023-10-26 21:43:49","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B81LFANV","Entregado","19","0","0","0","EUR"
"2023-10-26 21:28:12","Tepuy Basics","Umbrella SH - Calle Linares","glovo","AZTWLRVJ","Entregado","34,1","0","0","0","EUR"
"2023-10-26 21:27:57","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AZSTX9Y7","Entregado","29,6","0","0","0","EUR"
"2023-10-26 21:16:38","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BEQZJEEJ","Entregado","22","0","0","0","EUR"
"2023-10-26 21:16:00","Tepuy Basics","Goleta","ubereats","A1E7F","Entregado","43,7","3,97","0","0","EUR"
"2023-10-26 21:15:41","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AYCLWDX7","Entregado","38,3","0","0","0","EUR"
"2023-10-26 21:10:13","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BUD2JNYW","Entregado","22","0","0","0","EUR"
"2023-10-26 21:02:13","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BZF3KNNQ","Entregado","29,6","0","0","0","EUR"
"2023-10-26 20:57:58","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AJCQ5WXF","Entregado","43,3","0","0","0","EUR"
"2023-10-26 20:56:34","Tepuy Burger","Tepuy Burger - Benidorm","ubereats","DFF87","Entregado","26,6","2,42","0","0","EUR"
"2023-10-26 20:46:49","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","F5D90","Entregado","14,9","1,35","0","0","EUR"
"2023-10-26 20:35:59","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A7EAEUUV","Entregado","24,2","0","0","0","EUR"
"2023-10-26 20:34:23","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","ATTTVMWS","Entregado","28,5","0","0","0","EUR"
"2023-10-26 20:26:37","Tepuy Burger","Tepuy Burger - Benidorm","ubereats","F6ECC","Entregado","16,9","1,54","0","0","EUR"
"2023-10-26 20:16:38","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BP2GTLSE","Entregado","20","0","0","0","EUR"
"2023-10-26 20:15:00","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BASBU1HL","Entregado","30,6","0","0","0","EUR"
"2023-10-26 20:11:57","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","9169A","Entregado","12,5","1,14","0","0","EUR"
"2023-10-26 20:02:12","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A6MKHEJ1","Entregado","26,8","0","0","0","EUR"
